foo,B,0.05,AED,200,100,03/10/2017
bar,B,0.05,USD,300,105.05,04/10/2017
IN,S,0.05,USD,250,104.05,03/10/2017
UK,S,1.05,USD,400,105.05,08/10/2017
EU,S,0.05,USD,600,205.05,08/10/2017
IN,B,0.05,USD,250,304.05,03/10/2017
UK,S,0.05,USD,400,405.05,08/10/2017
EU,S,0.05,USD,600,505.05,08/10/2017
IN,S,0.05,USD,250,604.05,03/10/2017
UK,S,0.05,USD,400,705.05,08/10/2017
EU,S,0.05,USD,600,805.05,08/10/2017
IN,B,0.05,USD,250,904.05,03/10/2017
MN,B,0.05,USD,400,1050.05,08/10/2017
EU,B,0.05,USD,600,1150.05,08/10/2017
RS,B,0.05,USD,250,880.05,03/10/2017
UK,B,0.05,USD,400,1250.05,04/10/2017
EU,B,0.05,USD,600,750.05,08/10/2017
GH,B,0.05,USD,600,650.05,05/10/2017
IN,S,0.05,USD,250,1250.05,03/10/2017
UK,S,1.05,USD,400,550.05,08/10/2017
EF,S,0.05,USD,600,1350.05,08/10/2017
IN,S,0.05,USD,250,1450.05,03/10/2017
CD,S,0.05,USD,400,450.05,06/10/2017
EU,S,0.05,USD,600,105.05,08/10/2017
BC,B,0.05,USD,250,104.05,03/10/2017
UK,B,0.05,USD,400,105.05,08/10/2017
AB,B,0.05,USD,600,105.05,08/10/2017
